id,name,avgRating,address-,cuisines,cost for two
83263,Babbu's Star,2.4,central avenue road; dosar bhawan; behind traffic police chowky; bajaria,['Biryani'  'Mughlai'  'North Indian'],30000
222489,Haji Hotel,4,HOUSE NO. 331; NEAR KAMAL BABA DARGAH GATE; MOHAMMAD ALI ROAD; MOMINPURA; NAGPUR; NAGPUR URBAN; NAGPUR-1 (MAHARASHTRA)-440018,['Indian'],30000
145849,Night Out Cafe,--,Traffic Park VIP Rd Near Shyam Medical Dharampeth,['Fast Food'],40000
63974,Shankar Bhojnalaya,3.7,Opp Hotel Centre Point; Ramdaspeth,['Indian'  'Thalis'  'Chinese'],25000
89300,Thali Wala,2.9,Plot no 31; Opposite Center Point Hotel; Ramdaspeth; Nagpur,['North Indian'  'Fast Food'],20000
135476,Maggi Hut,--,N-116 karimabad Housing society; opp Poonam chambers ; byramji town; Nagpur. 440013,['North Indian'  'Fast Food'  'Chinese'],25000
63755,Shreenath Pavbhaji Pulao,4,Plot No.7; Bhgwaghar Layout; Behind Children's Traffic Park; Dharampeth; Nagpur,['Fast Food'],20000
141507,La Pasta Fresca Deli,4.3,Plot 2; Bhagvaghar Layout; opposite Taori Marketing; Dharampeth; Nagpur; Maharashtra 440010,['Fast Food'],30000
217153,Hydrabadi Biryani,--,Plot 176; Chandan Nagar; Near Hanuman Nagar; Medical Square Nagpur; Ayodhya Nagar; Nagpur,['North Indian'],20000
129413,The Food City,--,Plot No.5; Hanuman Nagar; Above Roopam Traders; Medical Square,['North Indian'  'Fast Food'  'Chinese'],25000
127054,The Food Town,--,Medical Square; Nagpur,['North Indian'  'Fast Food'  'Chinese'],25000
240843,Night Kingdom,--,House No.81 Chandra Krishna Niwas Gavalipura VIP Road Dharampeth Nagpur; Nagpur-1; Maharashtra - 440010,['Indian'],25000
243216,4K' s Roof Top,--,PLOT NO 213;MESHRAM CHOWK;RESIDANCY ROAD; NAGPUR 440016 ; District - Nagpur-1; STATE - Maharashtra,['Beverages'  'Juices'],20000
190450,Nagpuri Saoji Bhojanalay,--,PLOT NO 176; CHANDAN NAGAR; NEAR HANUMAN NAGAR; MEDICAL SQUARE; NAGPUR,['Indian'],20000
190447,Chicken Dinner,--,PLOT NO 176; CHANDAN NAGAR; NEAR HANUMAN NAGAR; MEDICAL SQUARE; NAGPUR,['Chinese'  'Fast Food'],20000
149553,Delicious Kulfi,--,behind hakinggi's ka wada Near Taj Boaring Works; Bhaldarpura; Gandhibagh; Nagpur,['Desserts'],30000
177928,Tasty Saoji,4,Timki; Mominpura; Nagpur,['Fast Food'  'Maharashtrian'],10000
190443,Pride Restaurant,--,PLOT NO 176; CHANDAN NAGAR; NEAR HANUMAN NAGAR; MEDICAL SQUARE; NAGPUR,['North Indian'],20000
64470,KLFC,--,Near Lamba Petrol Pump; Kadbi Chowk; Sadar; Nagpur,['Fast Food'],50000
56566,Matka Biryani,3.7,Kadbi Chowk; Near Lamba Petrol Pump; Sadar; Nagpur,['Biryani'  'North Indian'],30000
145947,Aflatoon Food Plaza,--,Plot No 6;Sai Vishwa Apt;Tilak Nagar,['Fast Food'],40000
257327,THE GLASS ONION,--,PLOT NO 10; VAKILPETH ; HANUMAN NAGAR; NAGPUR-09 ; District - Nagpur-1; STATE - Maharashtra,['Chinese'  'Indian'],20000
77545,Rice & Curry,--,Near Lamba PEtrole Pump Kadbi Square,['North Indian'],20000
90549,Bangali Babu Sandwiches,3.7,Near City Post Office; Opposite Shanti Dairy; Laxmi Saraswati Kalka Mandir; Itwari; Gandhibagh; Nagpur,['Fast Food'  'Pizzas'],15000
59309,Hotel Sujal Saoji,3.8,Plot No.201; Central Bazar Road; Bajaj Nagar; Nagpur,['North Indian'  'Chinese'  'Biryani'  'Seafood'  'Tandoor'],30000
239293,Ruchi's Kitchen,3.9,block no. 715/A/11; main road; kachipura; ramdaspeth; Nagpur,['North Indian'  'Biryani'  'Chinese'],20000
215500,Babbu Hotel,4,Mohd Ali Sarai; Mominpura; Nagpur,['Biryani'  'Mughlai'],30000
251775,DOSTI YAARI,--,BESIDES LONDE JWELLERS; GOKULPETH MARKET ROAD; GOKULPOETH; NAGPUR; Netambit - 440010,['Indian'],25000
178899,China Express,3.9,388;old Bagadganj;Near NIT Hall;Nagpur,['Biryani'  'Chinese'  'Continental'],30000
247089,Hunger kills,--,JUNI MANGALWARI; CHANDRASHEKHAR AZAD CHOWK; BUJADE MOHALLA; PATIMAYA MANDIR; NAGPUR; Nagpur urban; Nagpur-1 (Maharashtra); - 440008,['Indian'],15000
92225,Shree Ganesh Restaurant,3.8,Plot 251 Shree Ganesh Niwas; Datt Nagar; Shastri Nagar Chowk; Near NIT Garden; Wardhaman Nagar; Nagpur,['Chinese'  'North Indian'],25000
57495,Pizza Hut,4.1,PHD Ambazari Nagpur;Plot No 1435;Meghdoor Heights;Shradhand Peth South Ambazari Road Nagpur;Nagpur Maharashtra 440010,['Pizzas'],35000
72950,Hot Sandwiches,3.5,Plot no 370;Garoba Maidan;Chhapru Nagar;Thakre Rickshaw Garage,['Fast Food'],35000
55348,House of Caffeine,3.5,J 12; Besides Face & Figure Gym; WHC Road; Laxmi Nagar; Nagpur,['Continental'  'Desserts'  'Beverages'],50000
56261,Panino The Sandwich World,4.3,51-54; 1st Floor; Poonam Chambers; Chaoni; Sadar; Nagpur,['Cafe'  'Fast Food'  'Snacks'  'Beverages'],40000
188354,Mother Son's,3.8,Shop 3 Dev Nagar; khamla Road Nagpur; Nagpur; Maharashtra 440015; India,['Beverages'  'Fast Food'],25000
227251,VFC (Vidarbha Fried Chicken),--,388;Old Bagadganj;Near N.I.T Hall;Nagpur; District - Nagpur-1; STATE - Maharashtra-440008,['Fast Food'  'Indian'],25000
231230,Biryani Aladin,--,388;Old Bagadganj;Near N.I.T. Hall;Nagpur; District - Nagpur-1; STATE - Maharashtra - 440008,['Fast Food'],20000
168676,My BesTea,3.4,GS/3 Swagat Apartment upper ground floor House no; 996/6 ward no.75 dev nagar Nagpur,['Beverages'  'Fast Food'],20000
120203,Biryani Kingdom,4,822 ; Ram Nagar Dharampeth,['Biryani'  'North Indian'],20000
72602,Jaiswal Kitchen,4.1,House No 822; Amravati Rd; Near New Hanuman Mandir; Ramnagar,['Chinese'  'North Indian'  'Biryani'],20000
215903,Pao Rangers,--,PLOT NO 20 SHIVSHANKAR APPATMENTS 1ST FLOOR SHANKAR NAGAR NAGPUR 440010; Nagpur urban; Nagpur-1 (Maharashtra); - 440010,['Snacks'],20000
72952,Gurpal Foods,4.2,Plot No 14; Kamptee Road; Opp Tirpude Hospital; Buddha Nagar; Nagpur; Maharashtra 440017,['North Indian'  'Chinese'],30000
225751,Asha Kitchen,--,PLOT NO. 628/A;AJNI SQUARE; BEHIND AJIT BAKERY;WARDHA ROAD; NAGPUR-440015.; District - Nagpur-1; 440015; Maharashtra,['Indian'],20000
207902,Baskin Robbins-8 Rasta Sqaure,4.2,baskin-robbins near 8 Rasta Chowk; Laxminagar; Nagpur; Maharashtra; India,['Desserts'  'Ice Cream'],25000
72954,Juhi's Kitchen,4.2,2/A; Kalakunj; Madhav Nagar; 2/A; Kalakunj; Madhav Nagar; South Ambazari Road;Nagpur; Nagpur,['North Indian'  'Chinese'  'Biryani'],30000
193815,Biryani Darbaar,3.8,Ram Nagar; Nagpur; Maharashtra; India,['Biryani'  'North Indian'],20000
131338,Indian Roti,4.7,Plot no. 1003; Near Buddha Park; Buddha Nagar; Nagpur,['North Indian'  'Fast Food'  'Chinese'],25000
242379,9 lounge,--,SHOP NO.22 NIT COMPLEX; HILL ROAD; GANDHI NAGAR; NAGPUR ; District - Nagpur-1; STATE - Maharashtra-440010,['Indian'],40000
56027,Burger Singh (Big Punjabi Burgers),4.1,Plot no 122; Ambazari Road; Shradhanand peth; Opposite to Tanishq Jewellery Showroom; Nagpur-440010,['Fast Food'  'Snacks'  'Beverages'  'Indian'  'American'  'Desserts'],30000
80161,SSDs Swad Ghar Ka,3.9,Kamlakar Palace; oppo. NIT garden; near shankar nagar square; Nagpur,['North Indian'],20000
54485,Anna The Restaurant,3.5,Plot 42; Central Bazar Road; Utakarsh; Bajaj Nagar; Nagpur,['Indian'],30000
227867,Paapi Pait,--,plot no.7;shakari bank;panchpaoli road;nagpur 440017;nagpur urban;nagpur-1(maharastra);-440017,['Indian'],25000
251704,Ho lee phuk,--,PLOT NO 20 SHIVSHANKAR APPATMENTS 1ST FLOOR SHANKAR NAGAR NAGPUR 440010; District - Nagpur-1; STATE - Maharashtra - 440010,['Chinese'  'Indian'],25000
86378,Cafe Freezing Point,3.6,10; Naresh Society; Near Ganesh Mandir; Pratap Nagar; Nagpur,['Bakery'  'Fast Food'  'Cafe'  'Beverages'  'Ice Cream'],15000
178054,Grey Hills Restaurant,--,Plot 43; Universal Tower; Central Bazaar Road; Bajaj Nagar; Nagpur,['North Indian'  'Chinese'  'Biryani'],40000
164039,The Paratha Shopee,3.8,plot no 19 indira Gandhi colony jaripatka Nagpur,['North Indian'],30000
202070,Jimo,4.4,new sneh nagar; wardha road; nagpur,['Jain'  'North Indian'],30000
100716,S S Food Gallery,--,new futala lake telankhedi mandir road ; vayusena nagar,['Chinese'],20000
98425,Food Southee,4,E/553;Near Korona House Laxminagar Besides jain mandir nagpur 440022,['Fast Food'],20000
135543,Balu Saoji Bhojnalaya,--,C.A Road Beside Hira Plaza Juni Mangalwari Nagpur 440002.,['North Indian'  'Fast Food'  'Chinese'],25000
222896,The Little Hearts Kitchen,3.8,Kasturba Nagar; Jaripatka; Nagpur,['Fast Food'],30000
78475,Drink n Dream,4.7,Kamal Phool Chowk Jaripatka,['Beverages'  'Juices'],25000
150088,Curry Cafe,--,Rati Rakesh Jain; H. No. 127; Shri Krishna Nagar; New Wathoda; Near Shitla Mata Mandir; Nagpur; District - Nagpur-1; STATE - Maharashtra,['Fast Food'],40000
155992,Maggi King,3.5,Cafe Freezing Point; Near Pratap Nagar Square; Khamla; Nagpur; Maharashtra; India,['Fast Food'],15000
248924,Tom Uncle's Maggie Corner,--,113; Hilltop Layout; Sudam Nagar; Ambazari; nagpur 440033,['Fast Food'  'Cafe'  'Snacks'  'Home Food'],20000
56258,Sigri,4,Byramji Town; Chindwada Road; Sadar; Nagpur,['North Indian'  'Chinese'],60000
53702,Hunger's Den Restaurant & Cafe,3.9,Nelco society; Trimurti Nagar; Nagpur; 440022,['Biryani'  'North Indian'  'Chinese'  'Fast Food'  'Barbecue'],25000
55010,Zaikart,4,Plot 17; Sneha Bunglow; Next to Cafe Coffee Day; IT Park; Gayatri Nagar; Pratap Nagar; Nagpur,['North Indian'  'Chinese'],55000
58224,Battery Full,3.6,M2; Prabodhan Apartment; Opp. Power Grid Office; Nagpur,['Fast Food'],15000
60934,Om Shakti Saoji,--,10/4; 82; HIG Housing Board Colony; Near NIT Garden; Trimuti Nagar; Nagpur,['Indian'],50000
